Pee Time, Added Manually
2017-06-01 10:05:04 +0000,false
2017-06-01 15:07:09 +0000,false
2017-06-01 17:04:08 +0000,false
2017-06-01 18:08:06 +0000,false
2017-06-01 21:02:00 +0000,false
2017-06-01 23:08:01 +0000,false
2017-06-02 01:03:03 +0000,false
2017-06-02 01:09:09 +0000,false
2017-06-02 03:02:06 +0000,false
2017-06-02 15:02:07 +0000,false
2017-06-02 18:01:00 +0000,false
2017-06-02 19:06:05 +0000,true
2017-06-02 22:01:01 +0000,false
2017-06-02 22:03:01 +0000,false
2017-06-02 23:03:03 +0000,false
2017-06-02 23:08:03 +0000,false
2017-06-03 00:05:07 +0000,false
2017-06-03 00:01:06 +0000,false
2017-06-03 01:08:07 +0000,false
2017-06-03 06:06:01 +0000,false
2017-06-03 15:04:02 +0000,false
2017-06-03 16:03:02 +0000,false
2017-06-03 23:06:02 +0000,false
2017-06-04 02:09:01 +0000,false
2017-06-04 04:07:04 +0000,false
2017-06-04 16:09:01 +0000,true
2017-06-04 19:05:02 +0000,false
2017-06-05 00:05:00 +0000,false
2017-06-05 05:05:02 +0000,false
2017-06-05 15:06:00 +0000,false
2017-06-05 18:02:04 +0000,false
2017-06-05 19:09:02 +0000,false
2017-06-05 20:01:09 +0000,false
2017-06-05 22:08:02 +0000,false
2017-06-05 22:07:09 +0000,false
2017-06-05 23:07:01 +0000,false
2017-06-06 00:01:03 +0000,false
2017-06-06 00:06:09 +0000,false
2017-06-06 03:04:02 +0000,false
2017-06-06 15:08:06 +0000,false
2017-06-06 18:04:01 +0000,false
2017-06-06 18:02:09 +0000,false
2017-06-06 21:02:07 +0000,false
2017-06-07 01:07:03 +0000,false
2017-06-07 02:05:00 +0000,false
2017-06-07 03:06:01 +0000,false
2017-06-07 04:09:04 +0000,false
2017-06-07 05:09:05 +0000,false
2017-06-07 05:04:08 +0000,false
2017-06-07 10:02:00 +0000,false
2017-06-07 15:01:03 +0000,false
2017-06-07 17:05:08 +0000,false
2017-06-07 18:03:03 +0000,false
2017-06-07 19:07:02 +0000,false
2017-06-07 22:02:00 +0000,true
2017-06-07 23:07:08 +0000,false
